                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.50093,                0.65769,                0.92332,                0.97981,                0.84917,                  0.975,                0.86177,                0.54328,                0.53122,                0.86407,              0.0013501,              0.0013501,              0.0013501
                     98,                 0.5052,                0.62986,                0.94087,                0.91638,                0.85476,                0.97549,                0.87128,                0.57329,                0.56943,                 0.8778,              0.0013468,              0.0013468,              0.0013468
                     99,                0.50415,                0.65296,                0.95457,                0.98786,                0.85476,                0.97257,                0.84679,                0.62828,                0.54605,                0.88663,              0.0013435,              0.0013435,              0.0013435
                    100,                0.48128,                0.60768,                0.94394,                0.97918,                0.85476,                0.94509,                  0.836,                0.62423,                0.60387,                 0.8949,              0.0013402,              0.0013402,              0.0013402
                    101,                 0.4435,                0.59045,                0.91643,                0.98756,                0.90476,                0.96302,                0.85578,                0.55635,                0.55337,                 0.8785,              0.0013369,              0.0013369,              0.0013369
                    102,                0.46551,                0.56093,                 0.9233,                0.97923,                0.90476,                0.96674,                0.85703,                0.53864,                 0.5609,                0.86741,              0.0013336,              0.0013336,              0.0013336
                    103,                0.45821,                0.56375,                0.91081,                 0.9897,                0.90282,                 0.9654,                0.85011,                0.54834,                0.52682,                0.86197,              0.0013303,              0.0013303,              0.0013303
                    104,                0.42696,                0.57579,                0.93956,                0.96775,                0.90565,                0.95835,                 0.8486,                0.56061,                0.55671,                0.88453,               0.001327,               0.001327,               0.001327
                    105,                0.47389,                 0.6263,                0.97909,                0.93056,                0.90476,                0.94518,                0.83902,                0.56224,                0.59673,                0.87295,              0.0013237,              0.0013237,              0.0013237
                    106,                0.44104,                0.56851,                0.88727,                0.97765,                0.90476,                 0.9487,                0.84914,                0.52481,                0.57343,                0.85775,              0.0013204,              0.0013204,              0.0013204
                    107,                 0.4319,                0.54699,                0.92189,                0.95514,                0.90793,                0.95151,                0.83444,                0.57041,                0.63635,                0.88916,              0.0013171,              0.0013171,              0.0013171
                    108,                0.41249,                  0.521,                0.90384,                0.92463,                0.94218,                0.97899,                0.86461,                0.55602,                0.56879,                0.85424,              0.0013138,              0.0013138,              0.0013138
                    109,                0.45489,                0.56182,                0.91913,                0.95232,                0.94354,                 0.9842,                0.87237,                0.52931,                0.58995,                0.85989,              0.0013105,              0.0013105,              0.0013105
                    110,                 0.4345,                0.60948,                0.95764,                0.94927,                0.96935,                0.98362,                0.86436,                0.58371,                  0.616,                0.90421,              0.0013072,              0.0013072,              0.0013072
                    111,                0.46983,                0.56259,                0.93721,                0.96103,                0.94153,                0.96708,                0.85804,                0.57578,                0.55808,                0.88798,              0.0013039,              0.0013039,              0.0013039
                    112,                0.40847,                0.52576,                0.90884,                0.90652,                0.94136,                0.95451,                0.85058,                0.54826,                0.57235,                0.87049,              0.0013006,              0.0013006,              0.0013006
                    113,                 0.4344,                0.53362,                0.92358,                0.99354,                0.86461,                0.94582,                0.84136,                0.56565,                 0.5634,                0.89254,              0.0012973,              0.0012973,              0.0012973
                    114,                0.41125,                0.53229,                0.94784,                0.99514,                0.85881,                0.96014,                 0.8466,                0.54191,                0.55262,                0.88135,               0.001294,               0.001294,               0.001294
                    115,                0.42591,                 0.5256,                0.93917,                0.98894,                0.85226,                0.95777,                0.83765,                0.55939,                0.56205,                0.87081,              0.0012907,              0.0012907,              0.0012907
                    116,                0.46007,                0.61745,                0.94935,                0.96458,                0.89098,                0.91626,                0.79386,                0.66125,                0.68476,                0.90477,              0.0012874,              0.0012874,              0.0012874
                    117,                0.41158,                0.53817,                0.92327,                0.92336,                0.87441,                 0.9123,                0.81018,                0.59153,                0.70398,                0.88436,              0.0012841,              0.0012841,              0.0012841
                    118,                0.44847,                0.55417,                0.92306,                0.91043,                0.90238,                0.90441,                 0.8057,                 0.5583,                0.57423,                0.88587,              0.0012808,              0.0012808,              0.0012808
