                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.39918,                 0.4724,                 1.5924,                0.90233,                0.90909,                0.91232,                0.87063,                0.34742,                 0.5957,                 1.4211,              0.0014442,              0.0014442,              0.0014442
                     83,                0.41364,                0.42005,                 1.5939,                0.85983,                0.90909,                0.91544,                0.87062,                0.36432,                0.58737,                 1.3581,              0.0014415,              0.0014415,              0.0014415
                     84,                 0.4108,                0.40881,                 1.6396,                0.93042,                0.86364,                0.92943,                0.88552,                0.38431,                0.54247,                 1.3316,              0.0014387,              0.0014387,              0.0014387
                     85,                0.38274,                0.38584,                 1.4659,                0.91047,                0.85754,                  0.932,                0.88764,                0.40742,                0.54139,                 1.3521,               0.001436,               0.001436,               0.001436
                     86,                 0.4039,                0.43324,                    1.7,                0.87553,                0.95088,                0.92054,                0.86876,                0.40645,                0.55896,                 1.3019,              0.0014332,              0.0014332,              0.0014332
                     87,                0.38014,                0.36319,                 1.5387,                0.89517,                0.90426,                0.91953,                0.86259,                0.39327,                0.56703,                 1.3424,              0.0014305,              0.0014305,              0.0014305
                     88,                0.41457,                0.42819,                 1.4904,                0.89848,                0.90909,                 0.9205,                0.88479,                0.34984,                0.56856,                 1.5437,              0.0014277,              0.0014277,              0.0014277
                     89,                0.39806,                0.40495,                 1.5661,                 0.9266,                0.90909,                0.88064,                0.84343,                0.35857,                0.56027,                 1.5674,               0.001425,               0.001425,               0.001425
                     90,                0.37305,                0.37687,                 1.5547,                 0.9368,                0.90909,                0.88109,                0.84682,                0.34312,                0.54936,                 1.4621,              0.0014222,              0.0014222,              0.0014222
                     91,                0.37158,                0.41382,                 1.5071,                0.94728,                0.90238,                0.88742,                0.84898,                0.36267,                0.53931,                 1.3783,              0.0014195,              0.0014195,              0.0014195
                     92,                0.35736,                0.39936,                 1.5566,                0.94467,                0.89755,                  0.876,                0.84734,                0.33579,                0.53249,                 1.3723,              0.0014167,              0.0014167,              0.0014167
                     93,                0.38447,                0.38587,                 1.6361,                0.93178,                0.86364,                0.86041,                 0.8123,                0.35629,                0.58252,                 1.3695,              0.0014139,              0.0014139,              0.0014139
                     94,                0.39668,                0.41711,                 1.6012,                0.89358,                0.86364,                0.84964,                0.81175,                0.38688,                0.63042,                  1.333,              0.0014112,              0.0014112,              0.0014112
                     95,                0.39006,                0.39867,                 1.6193,                0.89596,                0.86364,                0.83984,                0.80286,                0.40129,                0.66846,                 1.3258,              0.0014084,              0.0014084,              0.0014084
                     96,                 0.4412,                0.45055,                 1.6062,                0.92828,                0.86364,                0.83429,                0.78886,                0.42064,                0.84663,                 1.3436,              0.0014057,              0.0014057,              0.0014057
                     97,                0.39728,                0.39293,                 1.5927,                0.93504,                0.86364,                0.82764,                0.78377,                0.45319,                0.88086,                 1.3935,              0.0014029,              0.0014029,              0.0014029
                     98,                0.39651,                0.39844,                 1.5443,                0.93205,                0.86364,                0.82683,                0.78573,                0.42842,                0.87557,                 1.4734,              0.0014002,              0.0014002,              0.0014002
                     99,                0.41526,                0.41889,                 1.6225,                 0.9353,                0.86364,                0.82617,                0.77843,                0.41232,                0.82825,                 1.6135,              0.0013974,              0.0013974,              0.0013974
                    100,                  0.375,                0.38016,                 1.4332,                0.93042,                0.86364,                0.83637,                0.77408,                0.43234,                0.83919,                 1.5158,              0.0013947,              0.0013947,              0.0013947
                    101,                0.36545,                0.38666,                 1.5039,                0.89483,                0.86364,                0.83479,                0.77767,                0.40028,                0.80677,                 1.5061,              0.0013919,              0.0013919,              0.0013919
                    102,                0.39655,                0.40153,                 1.5515,                0.89236,                0.86364,                0.85142,                0.80803,                0.35345,                0.73293,                 1.4597,              0.0013892,              0.0013892,              0.0013892
                    103,                0.38732,                0.40743,                 1.5586,                0.88996,                0.86364,                  0.907,                0.85868,                0.35897,                0.61489,                 1.3267,              0.0013864,              0.0013864,              0.0013864
                    104,                0.36656,                0.39346,                 1.4785,                0.87129,                0.86001,                0.89339,                0.84731,                0.37998,                0.64606,                 1.2851,              0.0013837,              0.0013837,              0.0013837
                    105,                0.35835,                0.36753,                 1.4708,                0.89082,                0.85587,                0.89562,                0.85344,                0.36217,                0.63728,                 1.3363,              0.0013809,              0.0013809,              0.0013809
                    106,                0.36904,                0.37195,                 1.6358,                0.92315,                0.86364,                0.87682,                0.83974,                0.35399,                0.64886,                 1.3809,              0.0013782,              0.0013782,              0.0013782
                    107,                0.35421,                0.36867,                 1.4337,                0.93533,                0.86364,                0.85244,                0.81668,                0.34734,                0.67428,                 1.4139,              0.0013754,              0.0013754,              0.0013754
                    108,                 0.3893,                0.40459,                 1.5897,                0.95257,                0.86364,                0.87417,                0.83957,                0.38506,                0.69344,                 1.4175,              0.0013727,              0.0013727,              0.0013727
                    109,                0.38208,                0.39541,                 1.5944,                0.93074,                0.86364,                 0.8782,                0.83313,                0.36718,                0.68821,                 1.5213,              0.0013699,              0.0013699,              0.0013699
                    110,                 0.3759,                0.37231,                 1.5442,                 0.8613,                0.86364,                0.87173,                 0.8295,                0.36236,                0.69698,                 1.6139,              0.0013672,              0.0013672,              0.0013672
                    111,                0.39186,                0.38312,                 1.5539,                0.80685,                0.90609,                0.89981,                 0.8555,                0.33935,                0.60484,                 1.6611,              0.0013644,              0.0013644,              0.0013644
