                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.33723,                0.48114,                 1.5401,                0.74942,                0.98668,                0.84285,                0.77936,                0.42779,                0.44272,                 1.5008,              0.0010976,              0.0010976,              0.0010976
                     71,                 0.3709,                0.45178,                 1.5921,                0.81712,                    0.9,                0.82896,                 0.7515,                0.43672,                0.43498,                 1.5267,              0.0010894,              0.0010894,              0.0010894
                     72,                0.39547,                0.47696,                  1.612,                0.81927,                    0.9,                0.82896,                 0.7607,                0.42756,                0.41939,                 1.5179,              0.0010811,              0.0010811,              0.0010811
                     73,                0.39147,                0.45175,                  1.594,                0.81688,                    0.9,                0.85333,                0.79473,                 0.4171,                0.41155,                 1.5144,              0.0010729,              0.0010729,              0.0010729
                     74,                0.36279,                0.48533,                 1.6873,                0.87981,                    0.9,                0.91667,                 0.8524,                0.40505,                 0.3867,                 1.5002,              0.0010646,              0.0010646,              0.0010646
                     75,                 0.3713,                0.48894,                 1.6227,                 0.9811,                    0.9,                0.93346,                0.86385,                0.40146,                 0.3592,                 1.4762,              0.0010564,              0.0010564,              0.0010564
                     76,                0.33069,                0.41759,                 1.6256,                0.97855,                    0.9,                0.93346,                0.85689,                0.39509,                0.35679,                 1.4946,              0.0010481,              0.0010481,              0.0010481
                     77,                0.33508,                0.40044,                 1.5821,                 0.9792,                    0.9,                0.92833,                0.85966,                0.37511,                0.36526,                 1.5093,              0.0010399,              0.0010399,              0.0010399
                     78,                0.31214,                 0.4119,                 1.5435,                 0.9867,                    0.9,                   0.92,                0.85816,                0.38812,                0.36868,                 1.5235,              0.0010316,              0.0010316,              0.0010316
                     79,                0.39096,                0.46509,                 1.7761,                0.98933,                0.87922,                 0.9072,                 0.8477,                0.37687,                0.36521,                 1.5369,              0.0010234,              0.0010234,              0.0010234
                     80,                0.38048,                0.44052,                 1.6771,                0.99019,                0.88202,                 0.8992,                0.84057,                0.37719,                 0.3878,                 1.5623,              0.0010151,              0.0010151,              0.0010151
                     81,                0.34933,                0.45812,                 1.6685,                0.99228,                0.88019,                0.89904,                0.84352,                0.37691,                0.41115,                  1.564,              0.0010069,              0.0010069,              0.0010069
                     82,                0.37261,                0.48003,                 1.5966,                0.88166,                    0.9,                 0.8785,                0.82176,                0.39406,                0.43243,                 1.5376,             0.00099862,             0.00099862,             0.00099862
                     83,                0.36703,                 0.4133,                 1.5455,                 0.9886,                    0.9,                0.90782,                0.84336,                0.41361,                0.40357,                 1.5033,             0.00099036,             0.00099036,             0.00099036
                     84,                0.33469,                0.41183,                 1.5025,                0.85336,                    0.9,                0.89167,                 0.8016,                0.44197,                0.41558,                 1.5146,             0.00098211,             0.00098211,             0.00098211
                     85,                0.36236,                0.43926,                 1.6499,                0.96504,                    0.8,                0.89113,                0.79618,                0.44107,                0.42181,                 1.5105,             0.00097386,             0.00097386,             0.00097386
                     86,                0.35994,                0.46283,                  1.732,                0.96135,                    0.8,                0.88971,                0.78451,                0.44394,                0.45209,                 1.5122,             0.00096561,             0.00096561,             0.00096561
                     87,                0.36804,                0.48116,                 1.7989,                0.87494,                    0.9,                0.88971,                0.78482,                 0.4323,                0.50104,                 1.5056,             0.00095736,             0.00095736,             0.00095736
                     88,                0.33183,                0.42912,                 1.6867,                0.81141,                    0.9,                0.83633,                0.78487,                0.41682,                0.50592,                 1.5005,             0.00094911,             0.00094911,             0.00094911
                     89,                0.36368,                0.41898,                 1.6848,                0.81656,                    0.9,                0.83823,                0.78133,                0.40848,                0.49763,                 1.5131,             0.00094085,             0.00094085,             0.00094085
                     90,                0.34768,                0.43422,                 1.6614,                0.88972,                    0.9,                0.92833,                0.86326,                0.40496,                0.42908,                 1.5302,              0.0009326,              0.0009326,              0.0009326
                     91,                0.37437,                0.42922,                 1.5699,                0.97415,                    0.9,                0.92833,                0.86632,                0.41303,                0.38891,                 1.5552,             0.00092435,             0.00092435,             0.00092435
                     92,                0.33569,                0.39795,                 1.6507,                0.86762,                    0.9,                0.90833,                0.84781,                0.41037,                0.38539,                 1.5583,              0.0009161,              0.0009161,              0.0009161
                     93,                0.35967,                0.45792,                 1.6559,                0.87994,                    0.9,                0.91071,                0.85235,                0.40732,                0.37282,                 1.5398,             0.00090785,             0.00090785,             0.00090785
                     94,                 0.3457,                0.43443,                 1.5907,                0.87768,                    0.9,                0.91667,                0.85604,                  0.406,                0.34694,                 1.5068,              0.0008996,              0.0008996,              0.0008996
                     95,                0.37107,                0.44937,                 1.6955,                0.87898,                    0.9,                0.92045,                 0.8572,                0.39788,                0.35441,                 1.4866,             0.00089134,             0.00089134,             0.00089134
                     96,                0.31663,                0.42762,                  1.645,                 0.8868,                    0.9,                0.92045,                0.84979,                0.40647,                0.33697,                 1.4878,             0.00088309,             0.00088309,             0.00088309
                     97,                0.33353,                0.45783,                 1.6191,                0.89043,                    0.9,                 0.9375,                0.86441,                0.41459,                0.33044,                 1.4921,             0.00087484,             0.00087484,             0.00087484
                     98,                0.34897,                0.44097,                 1.6507,                0.88852,                    0.9,                0.87106,                0.81125,                0.39516,                0.32492,                 1.4957,             0.00086659,             0.00086659,             0.00086659
                     99,                0.35252,                0.42471,                 1.6196,                0.88721,                    0.9,                 0.8655,                0.81042,                0.40048,                0.33989,                 1.5256,             0.00085834,             0.00085834,             0.00085834
                    100,                0.33109,                0.42796,                 1.7014,                0.88631,                    0.9,                 0.8655,                0.80517,                0.40571,                0.35877,                 1.5538,             0.00085009,             0.00085009,             0.00085009
                    101,                0.30281,                0.41962,                 1.4714,                0.88416,                    0.9,                 0.8655,                 0.8053,                0.38624,                0.36292,                 1.5616,             0.00084184,             0.00084184,             0.00084184
                    102,                0.32199,                0.39164,                 1.5256,                0.88227,                    0.9,                  0.905,                0.85094,                0.36239,                 0.3597,                  1.573,             0.00083358,             0.00083358,             0.00083358
                    103,                0.36914,                0.42655,                 1.6489,                0.87811,                    0.9,                  0.905,                0.83888,                0.37606,                 0.3669,                 1.5568,             0.00082533,             0.00082533,             0.00082533
                    104,                0.31317,                0.41553,                 1.5542,                0.87842,                    0.9,                0.92045,                0.84807,                 0.3803,                0.35199,                 1.5481,             0.00081708,             0.00081708,             0.00081708
                    105,                0.33696,                0.41794,                 1.6977,                0.98832,                    0.9,                0.94045,                0.87719,                0.37263,                0.35255,                 1.5452,             0.00080883,             0.00080883,             0.00080883
                    106,                  0.317,                0.38049,                 1.5704,                0.96018,                    0.9,                0.93667,                0.86928,                0.38737,                0.37253,                  1.559,             0.00080058,             0.00080058,             0.00080058
                    107,                0.33293,                0.39795,                 1.6445,                0.89079,                    0.9,                0.93071,                0.85191,                0.40675,                0.39198,                 1.5533,             0.00079233,             0.00079233,             0.00079233
                    108,                0.34483,                0.38736,                 1.5137,                0.87311,                    0.9,                0.89881,                0.82372,                0.42395,                0.42855,                 1.5553,             0.00078407,             0.00078407,             0.00078407
                    109,                0.32791,                0.42435,                 1.5917,                0.87507,                    0.9,                0.87881,                0.80487,                0.42686,                0.42651,                 1.5532,             0.00077582,             0.00077582,             0.00077582
                    110,                 0.3423,                0.40858,                 1.6809,                0.87637,                    0.9,                0.87773,                0.80511,                0.42481,                0.42721,                 1.5334,             0.00076757,             0.00076757,             0.00076757
                    111,                0.33609,                0.38848,                 1.6013,                0.82249,                    0.9,                0.87346,                 0.8135,                0.40777,                0.41365,                 1.4904,             0.00075932,             0.00075932,             0.00075932
                    112,                 0.3595,                0.42171,                 1.5382,                0.81268,                    0.9,                0.80417,                0.75113,                0.38998,                 0.4172,                  1.433,             0.00075107,             0.00075107,             0.00075107
                    113,                0.31719,                0.38691,                 1.5086,                0.81194,                    0.9,                0.80417,                0.75113,                 0.3867,                0.43398,                 1.4328,             0.00074282,             0.00074282,             0.00074282
                    114,                0.32572,                0.40206,                  1.602,                0.81728,                    0.9,                0.86278,                0.80454,                0.38813,                0.45419,                 1.4611,             0.00073456,             0.00073456,             0.00073456
                    115,                 0.3451,                0.43816,                 1.8233,                0.76781,                    0.9,                0.73377,                0.69211,                0.39131,                0.55472,                 1.4917,             0.00072631,             0.00072631,             0.00072631
                    116,                0.32464,                0.40114,                 1.6473,                 0.7691,                    0.9,                0.73214,                0.69064,                0.39697,                0.60789,                 1.5396,             0.00071806,             0.00071806,             0.00071806
                    117,                0.30713,                 0.4092,                  1.679,                0.77028,                    0.9,                0.73188,                0.68868,                0.39656,                0.59362,                  1.543,             0.00070981,             0.00070981,             0.00070981
                    118,                0.31967,                0.40125,                 1.6098,                0.78439,                    0.9,                0.76974,                0.72275,                0.39198,                0.55311,                 1.5366,             0.00070156,             0.00070156,             0.00070156
                    119,                 0.3427,                0.39851,                 1.5328,                0.82752,                    0.9,                0.85121,                0.78425,                0.38803,                 0.5082,                 1.5304,             0.00069331,             0.00069331,             0.00069331
                    120,                0.33579,                0.39811,                 1.5612,                 0.8617,                    0.9,                0.85717,                0.79434,                0.38918,                0.46414,                 1.5329,             0.00068505,             0.00068505,             0.00068505
                    121,                0.30241,                0.40139,                 1.5535,                  0.858,                    0.9,                0.85717,                0.79827,                0.38774,                0.43519,                 1.5295,              0.0006768,              0.0006768,              0.0006768
                    122,                 0.3199,                0.42002,                 1.6042,                0.85291,                    0.9,                0.87667,                0.81633,                 0.3982,                0.40551,                 1.5097,             0.00066855,             0.00066855,             0.00066855
                    123,                0.31091,                0.42273,                 1.6435,                0.82954,                    0.9,                0.92045,                0.85174,                0.39807,                0.37275,                 1.4989,              0.0006603,              0.0006603,              0.0006603
                    124,                0.33343,                0.36974,                 1.5688,                 0.8526,                    0.9,                  0.925,                0.86385,                0.38872,                0.34879,                 1.5063,             0.00065205,             0.00065205,             0.00065205
                    125,                0.35913,                0.48198,                 1.6185,                0.87615,                    0.9,                0.91056,                0.85813,                0.38667,                0.34555,                 1.5055,              0.0006438,              0.0006438,              0.0006438
                    126,                0.36598,                0.44554,                 1.6328,                0.88909,                    0.9,                0.91056,                0.85963,                 0.3786,                0.34679,                 1.5017,             0.00063554,             0.00063554,             0.00063554
                    127,                0.32739,                0.40159,                 1.6536,                0.79407,                    0.9,                  0.845,                0.81692,                0.36863,                0.36813,                 1.4843,             0.00062729,             0.00062729,             0.00062729
                    128,                0.30658,                0.36317,                 1.6038,                0.76295,                    0.9,                 0.7786,                0.73749,                0.37005,                0.39998,                 1.4654,             0.00061904,             0.00061904,             0.00061904
                    129,                0.33922,                0.41116,                 1.5935,                0.76186,                    0.9,                0.77481,                0.72455,                 0.3772,                0.42609,                  1.459,             0.00061079,             0.00061079,             0.00061079
                    130,                0.34043,                0.42032,                 1.5514,                0.76247,                    0.9,                0.77481,                0.72325,                0.38364,                0.41872,                 1.4457,             0.00060254,             0.00060254,             0.00060254
                    131,                0.33608,                0.39695,                 1.6627,                0.76472,                    0.9,                0.77481,                0.73322,                0.37481,                0.40851,                 1.4403,             0.00059429,             0.00059429,             0.00059429
                    132,                0.32281,                0.40482,                 1.5716,                0.76427,                    0.9,                 0.8906,                0.83684,                0.37497,                0.37992,                 1.4355,             0.00058603,             0.00058603,             0.00058603
                    133,                0.28052,                0.36328,                 1.5643,                0.94964,                    0.8,                 0.8906,                0.84118,                0.37636,                0.37377,                 1.4334,             0.00057778,             0.00057778,             0.00057778
                    134,                0.31246,                0.40727,                 1.5709,                0.83798,                    0.9,                0.91071,                0.84878,                0.38396,                0.37119,                  1.439,             0.00056953,             0.00056953,             0.00056953
                    135,                0.32874,                0.39089,                 1.6128,                0.98605,                0.89332,                0.91423,                0.85726,                0.37489,                0.37652,                 1.4652,             0.00056128,             0.00056128,             0.00056128
                    136,                0.30987,                0.36891,                 1.6127,                0.95219,                    0.9,                0.91113,                0.86176,                 0.3608,                0.39239,                 1.4719,             0.00055303,             0.00055303,             0.00055303
                    137,                0.33474,                0.36186,                 1.5486,                0.95319,                    0.9,                0.90929,                0.85979,                0.36011,                0.39559,                 1.4663,             0.00054478,             0.00054478,             0.00054478
                    138,                0.34023,                0.39964,                 1.6696,                0.86027,                    0.9,                0.88971,                0.85441,                0.36328,                0.38801,                 1.4474,             0.00053652,             0.00053652,             0.00053652
                    139,                0.29908,                0.40235,                 1.4475,                0.86024,                    0.9,                0.89352,                 0.8562,                0.35777,                0.39931,                 1.4375,             0.00052827,             0.00052827,             0.00052827
                    140,                0.30864,                0.36347,                 1.5492,                0.97091,                    0.8,                0.89674,                 0.8573,                0.35692,                0.40447,                 1.4399,             0.00052002,             0.00052002,             0.00052002
                    141,                  0.311,                0.37589,                 1.4929,                0.96928,                    0.8,                0.88548,                0.84656,                0.35817,                0.40645,                 1.4424,             0.00051177,             0.00051177,             0.00051177
                    142,                0.34001,                0.40435,                 1.7104,                 0.9751,                    0.8,                0.90441,                0.85269,                0.36416,                0.38584,                 1.4515,             0.00050352,             0.00050352,             0.00050352
                    143,                0.31714,                0.36521,                 1.4844,                0.97107,                    0.9,                0.92833,                0.87586,                0.37128,                 0.3741,                  1.475,             0.00049527,             0.00049527,             0.00049527
                    144,                0.30555,                0.36664,                 1.5149,                0.94396,                    0.9,                0.93071,                0.87252,                0.37027,                 0.3894,                 1.5006,             0.00048701,             0.00048701,             0.00048701
                    145,                0.33204,                0.41591,                 1.6544,                0.93682,                    0.9,                0.93071,                0.88742,                0.36912,                0.39175,                 1.5066,             0.00047876,             0.00047876,             0.00047876
                    146,                0.32041,                0.40043,                 1.7733,                0.81749,                    0.9,                0.89071,                0.83403,                0.36366,                0.40532,                 1.5065,             0.00047051,             0.00047051,             0.00047051
                    147,                0.29976,                0.40728,                 1.5768,                0.79893,                    0.9,                0.83346,                0.78136,                0.36712,                0.42826,                 1.5087,             0.00046226,             0.00046226,             0.00046226
                    148,                0.33795,                0.42093,                 1.6221,                0.79952,                    0.9,                0.80096,                0.75828,                0.35683,                0.42351,                 1.5072,             0.00045401,             0.00045401,             0.00045401
